Year,Date_of_capture,Pass,Latitude,Longitude,Depth_m,Region,SEX,Length,Length_manual,Length_manual_2,Wt_kg,Age,Certainty,Biological_maturity,Functional_maturity,Prop_atresia,Oocyte_1,Oocyte_2,Oocyte_3,Oocyte_4_1,Oocyte_4_2,Oocyte_5,Oocyte_6,Oocyte_7,Oocyte_8,Oocyte_9,Oocyte_10,POFs,Spawning,Spent,SLIDE_IDENTIFIER,highest_o_stage,Max_mat_stage
2015,7/6/2015 0:00,1,34.67771364,-121.0956455,611.88,2,f,34,34,34,0.56,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,11020,6,4
2015,7/6/2015 0:00,1,34.33300832,-120.680662,563.78,2,f,34,34,34,0.54,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11688,6,4
2015,9/19/2015 0:00,2,40.14683707,-124.440584,521.45,2,f,34,34,34,0.58,,1,1,1,0.1,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,12056,11,7
2015,8/23/2015 0:00,2,45.14586059,-124.6176954,421.25,1,f,34,34,34,0.68,,1,1,1,0.01,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11778,11,7
2012,8/19/2012,2,45.33048125,-124.72884,522.8,1,f,33,33,33,0.6,33,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2916,5,4
2012,7/5/2012,1,34.7284353,-121.1789127,544.7,2,f,33,33,33,0.56,80,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,2848,6,4
2012,7/5/2012,1,34.7284353,-121.1789127,544.7,2,f,33,33,33,0.58,51,1,1,1,0.01,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,0,0,2847,7,5
2012,9/6/2012,2,43.58712672,-124.6801944,434.9,1,f,33,33,33,0.54,23,1,1,1,0.2,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,0,1,2972,11,7
2013,8/28/2013,2,48.20645735,-125.7886603,529.9,1,f,33,33,33,0.64,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6420,6,4
2013,6/26/2013,1,38.97314382,-124.0237486,534.9,2,f,33,33,33,0.58,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6108,6,4
2013,7/3/2013,1,36.94066029,-122.4884016,525.6,2,f,33,33,33,0.56,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6079,5,4
2013,7/3/2013,1,36.94066029,-122.4884016,525.6,2,f,33,33,33,0.56,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6074,6,4
2013,7/6/2013,1,35.44742011,-121.2031531,349.6,2,f,33,33,33,0.68,,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,6017,11,7
2013,6/2/2013,1,45.12692383,-124.4828616,366.9,1,f,33,33,33,0.6,,1,1,1,0,N,N,N,Y,N,N,N,N,N,Y,Y,N,1,0,3034,10,6
2013,9/14/2013,2,41.26533406,-124.4543834,500.6,1,f,33,33,33,0.58,,0,0,0,0.5,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,6465,3,2
2014,9/26/2014,2,36.54976083,-122.0347192,515.1,2,f,33,33,33,0.56,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6817,5,4
2014,9/8/2014,2,45.20081512,-124.4957668,401.7,1,f,33,33,33,0.56,,1,1,1,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,8784,6,4
2014,5/26/2014,1,47.26925894,-125.0429738,634,1,f,33,33,33,0.58,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8344,11,7
2015,7/6/2015 0:00,1,34.33300832,-120.680662,563.78,2,f,33,33,33,0.64,,1,1,1,0.05,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11668,6,4
2015,7/5/2015 0:00,1,34.76335583,-121.29039,552.5,2,f,33,33,33,0.58,,0,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,0,11167,3,2
2015,6/1/2015 0:00,1,45.24637707,-124.7201531,522.24,1,f,33,33,33,0.58,,1,1,1,0.02,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11191,11,7
2015,7/2/2015 0:00,1,36.17614368,-121.8047437,453.2,2,f,33,33,33,0.5,,0,0,0,0.3,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,11298,3,2
2016,6/21/2016 15:38,1,39.03949343,-123.986883,470.9,2,F,33,33,33,0.56,,1,1,1,0.02,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,8121045,6,4
2016,5/22/2016 6:36,1,45.27605795,-124.5075448,412.3,1,F,32.5,32.5,32.5,0.64,,1,1,1,0.15,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,0,0,8007011,6,4
2016,7/1/2016 6:25,1,36.07681358,-121.6938849,573.9,2,F,32.5,32.5,32.5,0.54,,1,1,1,0.05,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,20131107,6,4
2012,8/19/2012,2,45.33048125,-124.72884,522.8,1,f,32,32,32,0.5,19,1,1,1,0.2,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2913,5,4
2012,6/29/2012,1,37.10840148,-122.7892639,518.4,2,f,32,32,32,0.5,59,1,1,1,0.15,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2792,5,4
2012,7/4/2012,1,34.60685556,-120.9350464,489.1,2,f,32,32,32,0.56,59,1,1,1,0.1,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,0,0,2723,6,4
2012,7/3/2012,1,35.02146115,-121.1356959,551.2,2,f,32,32,32,0.48,54,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2739,5,4
2012,8/19/2012,2,45.33048125,-124.72884,522.8,1,f,32,32,32,0.5,31,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2902,5,4
2012,7/5/2012,1,34.7284353,-121.1789127,544.7,2,f,32,32,32,0.5,54,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,2722,6,4
2012,7/1/2012,1,35.63737441,-121.418349,433.8,2,f,32,32,32,0.38,29,1,1,1,0.1,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,0,1,2789,11,7
2012,6/4/2012,1,45.60369065,-124.6774138,412.1,1,f,32,32,32,0.46,30,1,0,0,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,2494,3,2
2012,10/3/2012,2,35.17835115,-121.0538886,424.8,2,f,32,32,32,0.52,50,1,0,0,0.02,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,3046,3,2
2013,5/25/2013,1,45.38069512,-124.6728558,434.1,1,f,32,32,32,0.6,,1,1,1,0.02,Y,Y,Y,N,N,N,Y,N,N,N,N,N,0,0,3525,6,4
2013,6/26/2013,1,39.07733285,-123.9862201,456.9,2,f,32,32,32,0.56,,1,1,1,0.01,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,6154,7,5
2013,7/8/2013,1,34.45732318,-120.70676,371.6,2,f,32,32,32,0.48,,0,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,6064,11,7
2013,6/2/2013,1,45.12692383,-124.4828616,366.9,1,f,32,32,32,0.56,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,1,0,3040,10,6
2014,6/12/2014,1,42.75502961,-124.8415509,486.6,1,f,32,32,32,0.5,,1,0,0,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,8358,3,2
2015,10/5/2015 0:00,2,34.83919686,-121.2159245,549.46,2,f,32,32,32,0.5,,1,1,1,0.15,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,11466,4.2,3
2015,7/7/2015 0:00,1,34.24693093,-120.5178465,500.23,2,f,32,32,32,0.48,,0,1,1,0.1,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,41261,5,4
2015,8/26/2015 0:00,2,47.56933721,-125.1048844,483.95,1,f,32,32,32,0.6,,1,1,1,0.15,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11536,11,7
2015,10/12/2015 0:00,2,33.98578615,-120.5073275,449.57,2,f,32,32,32,0.46,,1,1,0,0.6,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,11626,5,4
